Vertical,Subvertical,Company Name,Website,Description,Location,Monthly Visits,US %
Sports,Tools,Fotmob,Fotmob.com,online website/app that provides football live scores,Netherlands,"7,000,000",17.00%
Screen,Image Licensing,Cover Media,https://covermg.com/,Image Licensing,UK,"3,800",18%
Marketplace,Database,Hitta,https://www.hitta.se/,Swedish Online Directory,Sweden,"14,000,000",1%
Tools,Tools,eSIM Plus,https://esimplus.me/,eSIM Provider,Lithuania,"68,000",
Marketplace,P2P Rental,Vanly,https://vanly.app/,P2P Rental (Focus on RV/Overnight parking),USA,"24,000",60%
Marketplace,Classifieds,Wannonce,https://www.wannonce.com/,Classified Ads,France,"12,700,000",0%
Marketplace,Classifieds,Kupujemprodajem,https://www.kupujemprodajem.com/,Classified Ads,Serbia,"12,100,000",
Marketplace,Classifieds,Lento,https://www.lento.pl/,Classified Ads,Poland,"9,300,000",
Marketplace,Classifieds,Gratka,https://gratka.pl/,Classified Ads,Poland,"3,800,000",0%
Marketplace,Marketplace,BezRealitky,https://www.bezrealitky.cz/,Real estate buy/sell marketplace,Czech Republic,"1,800,000",1%
Marketplace,Ferry Ticket Aggregator,Easybook,https://www.easybook.com/,Ferry Ticket Aggregator,Singapore,"1,400,000",2%
Marketplace,Ferry Ticket Aggregator,Greeka,https://www.greeka.com/,Ferry Ticket Aggregator,Greece,"1,200,000",26%
Marketplace,Ferry Ticket Aggregator,Aferry,https://www.aferry.com/en-ca/,Ferry Ticket Aggregator,UK,"706,000",2%
Marketplace,Ferry Ticket Aggregator,NetFerry,https://www.netferry.com/,Ferry Ticket Aggregator,Italy,"346,000",2%
Marketplace,P2P Rental,MobyPark,https://www.mobypark.com/,P2P & B2C Parking rental,Netherlands,"73,000",0%
Marketplace,Ferry Ticket Aggregator,Moby,https://www.mobylines.com/,Ferry Operator,Italy,"56,000",8%
Tools,Database,eSIMRadar,eSIMradar.com,eSIM Databaseaggregator,USA,"50,000",5%
Marketplace,P2P Rental,ClicknPark,https://clicknpark.com/,P2P Rental,Canada,"39,000",6%
Marketplace,Marketplace,Gumtree,https://www.gumtree.com/,Classified Marketplace,UK,"1,900,000",1%
Marketplace,Marketplace,EntreParticuliers,https://www.entreparticuliers.com/,Real estate buy/sell search engine,France,"1,900,000",5%
Tools,Database,eSIMDB,eSIMDB.com,eSIM Databaseaggregator,USA,"1,000,000",10%
Marketplace,Floral,Fromyouflowers,https://www.fromyouflowers.com/,Online flower marketplace,USA,"3,700,000",94%
Marketplace,Floral,Teleflora,https://www.teleflora.com/,Online flower marketplace,USA,"1,400,000",91%
Marketplace,Floral,Bloomnation,https://www.bloomnation.com/,Online flower marketplace,USA,"576,000",98%
Marketplace,Floral,Bloomex,https://bloomex.ca/,Online flower marketplace,Canada,"488,000",11%
Marketplace,Floral,FlowerShopping,https://www.flowershopping.com/,Online flower marketplace,USA,"293,000",94%
Sports,Sports Database,PuckPedia,https://puckpedia.com/,NHL Salary Data,USA,"242,000",27%
Marketplace,Estate Auctions,EstateSales.org,https://estatesales.org/,Estate Auction Listings,USA,"1,100,000",97%
Marketplace,Storage Aggregator,FindStorageFast,https://www.findstoragefast.com,Storage Aggregator,Canada,"33,000",98%
Marketplace,Classifieds,Geebo,https://geebo.com/,Classified Ads,USA,"2,800,000",98%
Marketplace,Estate Auctions,AuctionNinja,https://www.auctionninja.com/,Estate Auction Listings,USA,"2,600,000",99%
Marketplace,Estate Auctions,EstateSale.com,https://www.estatesale.com/,Estate Auction Listings,USA,"207,000",99%
Marketplace,Storage Aggregator,Comparethestorage,https://www.comparethestorage.com/,Storage Aggregator,UK,"26,000",0%
Marketplace,Industrial Machinery,EquipNet,https://www.equipnet.com/,Classified Ads / B2B,USA,"74,000",47%
Sports,Publishing,FanGraphs,https://www.fangraphs.com/,MLB News and roster/salary information,USA,"8,200,000",87%
Marketplace,Industrial Machinery,Machine Seeker,https://www.machineseeker.com/,Classified Ads / B2B,Germany,"861,000",6%
Sports,Sports Database,OverTheCap.com,https://overthecap.com/,NFL Salary Cap Data,USA,"576,800",82%
Sports,Sports Database,Salary Sport,https://salarysport.com/,Salary Cap Data,EU,"527,500",8%
Marketplace,Industrial Machinery,Surplus Record,https://surplus.com/,Classified Ads / B2B,USA,"95,000",81%
Marketplace,Industrial Machinery,Aaron Equipment Company,https://www.aaronequipment.com/,Classified Ads / B2B,USA,"55,000",38%
Marketplace,Industrial Machinery,Aucto,https://www.aucto.com/,Classified Ads / B2B,USA,"33,000",12%
